sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,utility,downside_risk,selection_score,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,coverage_constraint_satisfied
1723.0,0.7434706906558328,0.7876386687797148,0.7661538461538462,0.7768962574667805,0.7086477074869414,0.7767369242779079,0.2694821361177221,0.22326307572209214,1.207016141142664,0.492583918813427,0.507416081186573,0.62,0.4,1281.0,631.0,650.0,True
1723.0,0.7434706906558328,0.7788018433179723,0.7746031746031746,0.7767025089605735,0.7086477074869414,0.7767369242779079,0.2694821361177221,0.22326307572209214,1.207016141142664,0.5081967213114754,0.4918032786885246,0.61,0.39,1281.0,651.0,630.0,True
1723.0,0.722576900754498,0.7742424242424243,0.7794871794871795,0.7768648018648019,0.7086477074869414,0.7767068273092369,0.26945203914905114,0.2232931726907631,1.2067186645344194,0.5301204819277109,0.46987951807228917,0.605,0.365,1245.0,660.0,585.0,True
1723.0,0.7069065583284968,0.7527472527472527,0.8122448979591836,0.7824960753532182,0.7086477074869414,0.7766830870279147,0.2694282988677289,0.22331691297208534,1.2064840736062274,0.5977011494252874,0.40229885057471265,0.565,0.31,1218.0,728.0,490.0,True
1723.0,0.7219965177016832,0.7572815533980582,0.8030592734225621,0.7801704134103102,0.7086477074869414,0.7765273311897106,0.26927254302952486,0.22347266881028938,1.2049461997436293,0.5795819935691319,0.4204180064308682,0.57,0.325,1244.0,721.0,523.0,True
1723.0,0.7219965177016832,0.7993019197207679,0.7570789865871833,0.7781904531539756,0.7086477074869414,0.7765273311897106,0.26927254302952486,0.22347266881028938,1.2049461997436293,0.46061093247588425,0.5393890675241158,0.645,0.41,1244.0,573.0,671.0,True
1723.0,0.7341845618107952,0.7717717717717718,0.7813021702838063,0.7765369710277891,0.7086477074869414,0.7762845849802371,0.26902979682005135,0.2237154150197629,1.2025536854323848,0.5264822134387351,0.4735177865612648,0.6,0.375,1265.0,666.0,599.0,True
1723.0,0.7208357515960534,0.7647907647907648,0.7905282331511839,0.7776594989709744,0.7086477074869414,0.7761674718196457,0.26891268365946,0.22383252818035426,1.2014012701620478,0.5579710144927537,0.4420289855072464,0.585,0.34,1242.0,693.0,549.0,True
1723.0,0.7051654091700522,0.7489823609226595,0.8179916317991632,0.7834869963609113,0.7086477074869414,0.7761316872427984,0.2688768990826126,0.22386831275720165,1.2010493837697584,0.6065843621399177,0.3934156378600823,0.56,0.305,1215.0,737.0,478.0,True
1723.0,0.7127103888566454,0.7527472527472527,0.81,0.7813736263736264,0.7086477074869414,0.7760586319218241,0.26880384376163835,0.22394136807817588,1.2003313459610614,0.5928338762214984,0.40716612377850164,0.565,0.315,1228.0,728.0,500.0,True
1723.0,0.7359257109692396,0.7973199329983249,0.7570789865871833,0.7771994597927541,0.7086477074869414,0.7760252365930599,0.2687704484328741,0.2239747634069401,1.200003269763677,0.47082018927444796,0.5291798107255521,0.635,0.41,1268.0,597.0,671.0,True
1723.0,0.7382472431804992,0.7788018433179723,0.7729468599033816,0.775874351610677,0.7086477074869414,0.7759433962264151,0.2686886080662293,0.22405660377358494,1.1991996823166442,0.5117924528301887,0.4882075471698113,0.61,0.385,1272.0,651.0,621.0,True
1723.0,0.722576900754498,0.7602836879432624,0.7962962962962963,0.7782899921197793,0.7086477074869414,0.7759036144578313,0.2686488262976455,0.2240963855421687,1.1988092786400308,0.5662650602409639,0.43373493975903615,0.58,0.335,1245.0,705.0,540.0,True
1723.0,0.722576900754498,0.7717717717717718,0.7806563039723662,0.776214037872069,0.7086477074869414,0.7759036144578313,0.2686488262976455,0.2240963855421687,1.1988092786400308,0.5349397590361445,0.4650602409638554,0.6,0.36,1245.0,666.0,579.0,True
1723.0,0.7173534532791642,0.7641921397379913,0.7905282331511839,0.7773601864445876,0.7086477074869414,0.7758899676375405,0.2686351794773547,0.22411003236245952,1.1986753856823482,0.5558252427184466,0.4441747572815534,0.59,0.34,1236.0,687.0,549.0,True
1723.0,0.7173534532791642,0.7673048600883653,0.7863554757630161,0.7768301679256907,0.7086477074869414,0.7758899676375405,0.2686351794773547,0.22411003236245952,1.1986753856823482,0.5493527508090615,0.4506472491909385,0.595,0.345,1236.0,679.0,557.0,True
1723.0,0.7301218804410912,0.7717717717717718,0.7804054054054054,0.7760885885885886,0.7086477074869414,0.7758346581875993,0.26857987002741357,0.22416534181240066,1.1981328953705186,0.5294117647058824,0.47058823529411764,0.6,0.37,1258.0,666.0,592.0,True
1723.0,0.7399883923389438,0.7717717717717718,0.7799671592775042,0.775869465524638,0.7086477074869414,0.7756862745098039,0.2684314863496181,0.22431372549019613,1.1966788290061643,0.5223529411764706,0.4776470588235294,0.6,0.38,1275.0,666.0,609.0,True
1723.0,0.726639582124202,0.7572815533980582,0.800376647834275,0.7788291006161666,0.7086477074869414,0.7755591054313099,0.26830431727112414,0.2244408945686901,1.1954341822898484,0.5758785942492013,0.4241214057507987,0.57,0.33,1252.0,721.0,531.0,True
1723.0,0.718514219384794,0.7527472527472527,0.807843137254902,0.7802951950010774,0.7086477074869414,0.7754442649434572,0.26818947678327143,0.2245557350565428,1.194311410998885,0.5880452342487884,0.41195476575121165,0.565,0.32,1238.0,728.0,510.0,True
