condition_id,market_start_ts,final_outcome,label,p_up,prediction,hour_utc
0xbd1608b3e576991ad4bc675083c612e9c39294664347126b661d7fb2b8802033,1778339400.0,up,1,0.2616126610115198,0,15.0
0x463de486cd4ad9d13048a839302db0aaaf0f2743693361a2988a1b4295f892aa,1778354100.0,up,1,0.254139744374115,0,19.0
0xeee13008b6514b41e43c841b781ca2187e550748f2be4694c5ea23238cca292b,1778361900.0,up,1,0.14354460752226902,0,21.0
0x26e81bbd4f96733ffad8e509de231daf1865423ba0841e38ee0b48d9bdad6d45,1778365800.0,up,1,0.14354460752226902,0,22.0
0x302a2ec5b89960f8d2f832aa59759a1671ea1ea2e71aa8c497d2a8fb0db8954d,1778366100.0,up,1,0.22649381554593226,0,22.0
0x622c94f21e4350a9f9e828234d0bf7062089546c41256a018e819654c72396d3,1778373000.0,up,1,0.254139744374115,0,0.0
0x8f58affcf31bb61753026c9fa4182ed6477f028c2b5fcc92137dbddbf0313ad5,1778381100.0,up,1,0.2976135215387774,0,2.0
0x388e34d2f41c2d2d77c304f839295e9663f83f554f7d0b5f6c4a9a2a5320227d,1778381700.0,up,1,0.278056631566855,0,2.0
0xe991b46284d83c635c727e0b0f0b1ec6c50d8664d84e22edda5fa2ba93560ded,1778382000.0,up,1,0.2976135215387774,0,3.0
0x0083df112818caad4268ef29e368e63ff84636fdd979f31a4eca06a263ce75ce,1778383800.0,up,1,0.14354460752226902,0,3.0
0x38b2f91b4f959a9b1c1057f261b0e3eb375c7d9a6165cfb40159d07f5344a830,1778386200.0,up,1,0.15835293886733381,0,4.0
0x0aca7808de768978b6de26d83ceca132cf5e721756cd9d419b8b3dbb9159e6a0,1778402700.0,up,1,0.2976135215387774,0,8.0
0x23826fa86d519c6e46a3de0b1eb0e2f09f4975a0046eee7cb52e4237565107fe,1778406600.0,up,1,0.2976135215387774,0,9.0
0x6395b04d44cc6023aaaf14e544a700c8f1657ca6e3be980a23566976db950f8b,1778413200.0,up,1,0.22649381554593226,0,11.0
0x1868513a796c341ebaf9ceaf6ae996b10e1a5dd33ca8849526cba91e8cbd7043,1778418300.0,up,1,0.20687961053510862,0,13.0
0xd5e75d02ab7f4053a33b2e8b8f20324152393dc1605b813a9434cfd43211457a,1778418600.0,up,1,0.2616126610115198,0,13.0
0x2b634bfbc82d7d3eca13745343b449ebbdf4757e31aa9fb8ab8f8b1bd0fc7127,1778421300.0,up,1,0.20687961053510862,0,13.0
0x70af5fea0b259b57df7afa67e5a07abccc3e8731c7f3b1552c1dfaf3074aca6e,1778422800.0,up,1,0.14354460752226902,0,14.0
0x3414b8a2d8729bea7bfe3f0a685541e09e6d46b4c10f1b9e63155e7f0b21f228,1778431800.0,up,1,0.2976135215387774,0,16.0
0xa163fe061a27732fa843986ed0eb647c33199b9aa6c08f9c21ec89b8fb669b91,1778432400.0,up,1,0.2976135215387774,0,17.0
0x7ec94389666cbba1cc8d3bd1634b25fcf93cc83fde074d22686e4cf60fe59ebe,1778433300.0,up,1,0.2243725484196703,0,17.0
0xe46de444a9b0e22f180e4d8ad09ef55365e6b57dd6a91793113bdd198ee34c5c,1778451300.0,up,1,0.14354460752226902,0,22.0
0x35d06151fba0ac4ed688a1230fa8bd5544e76d3ea843445aeb3d2439b4bf4dc5,1778453400.0,up,1,0.14354460752226902,0,22.0
0x1f6907ef60cbe76fa5c31ebf84d4ccfbb429eae306e8a8e327458bef0891aa57,1778456400.0,up,1,0.254139744374115,0,23.0
0xe21e76f2dadd217bf7156bec1b1d6e859639b7feaff04d8f382ceba448869c0f,1778457300.0,up,1,0.14354460752226902,0,23.0
0x6c2cf8e840b7c6b9e50fc1d6f2b96dfbe8648c3bba8420f702850c060bcb063a,1778462400.0,up,1,0.22649381554593226,0,1.0
0x945be8e87294c87c37c0a8a2547a1b612fcbdbc92063cf45484a1307010e6adc,1778463900.0,up,1,0.2616126610115198,0,1.0
0x992747a7c12fdf518eb30a813029a744a9f4d9e0c7e47d9e6754900e56a64c18,1778469600.0,up,1,0.22649381554593226,0,3.0
0xaeab8faeb61f5916e50b7440659d28915600569c4e73e00f434081621c85a645,1778471400.0,up,1,0.2976135215387774,0,3.0
0x5c07484bd9cc3627c954cf43b349e7f2c009a33fa845a35dd941ae5535c3f6fb,1778478600.0,up,1,0.2243725484196703,0,5.0
0x969a2f996f84c43f04f3e3fe02c6e243709cd7b6d0729123e49d5b1d9389b2b6,1778479200.0,up,1,0.2616126610115198,0,6.0
0xf9ad98ca192cc41e2be094a53a3278b60ffd68249bcf2a98e4209f04b9b6bd6f,1778483100.0,up,1,0.15997878048107667,0,7.0
0x8cd0a603f41c7ea771ff686e9b81f17ddeb0fc979b7b4d8bc7219da2814239d7,1778483700.0,up,1,0.1653849044876323,0,7.0
0x2bd7a457a27db90d4f6aa11969c5555540b73039d442a472d32db65dab115084,1778500200.0,up,1,0.15835293886733381,0,11.0
0x031a514a37504f450e9d7dbe2de073c70f02a9ea4ff839e8b4f79d8a47d0ae08,1778500500.0,up,1,0.15835293886733381,0,11.0
